CVEGEO,ENTIDAD,NOM_ENT,MUN,NOM_MUN,P3HLINHE,P15YM_SE,PE_INAC,NASS,PTNR,indice,,,
1001,1,Aguascalientes,1,Aguascalientes,0,0.007,0.32,0.22,0.06,0,,,
1002,1,Aguascalientes,2,Asientos,0,0.021,0.56,0.22,0.64,0.5,,,
1003,1,Aguascalientes,3,Calvillo,0,0.034,0.497,0.62,0.28,0.5,,,
1004,1,Aguascalientes,4,Cosío,0,0.014,0.521,0.15,0.42,0.25,,,
1005,1,Aguascalientes,5,Jesús María,0,0.002,0.348,0.34,0.1,0,,,
1006,1,Aguascalientes,6,Pabellón de Arteaga,0,0.015,0.395,0.46,0.19,0,,,
1007,1,Aguascalientes,7,Rincón de Romos,0,0.01,0.395,0.55,0.2,0.25,,,
1008,1,Aguascalientes,8,San José de Gracia,0,0,0.453,0.49,0.34,0,,,
1009,1,Aguascalientes,9,Tepezalá,0,0.01,0.578,0.36,0.34,0.25,,,
1010,1,Aguascalientes,10,El Llano,0,0.003,0.553,0.49,0.64,0.5,,,
1011,1,Aguascalientes,11,San Francisco de los Romo,0,0.009,0.418,0.12,0.1,0,,,
2001,2,Baja California,1,Ensenada,0.003,0.005,0.303,0.81,0.02,0.25,,,
2002,2,Baja California,2,Mexicali,0,0.003,0.314,0.79,0.01,0.25,,,
2003,2,Baja California,3,Tecate,0,0.011,0.348,0.69,0.01,0.25,,,
2004,2,Baja California,4,Tijuana,0,0.01,0.305,0.66,0.02,0.25,,,
2005,2,Baja California,5,Playas de Rosarito,0,0.001,0.332,0.62,0.02,0.25,,,
2006,2,Baja California,6,San Quintín,0.022,0.081,0.371,NA,NA,NA,,,
3001,3,Baja California Sur,1,Comondú,0.001,0.009,0.393,0.96,0.05,0.25,,,
3002,3,Baja California Sur,2,Mulegé,0.002,0.014,0.343,0.55,0.14,0.25,,,
3003,3,Baja California Sur,3,La Paz,0.001,0.005,0.287,0.87,0.02,0.25,,,
3008,3,Baja California Sur,8,Los Cabos,0,0.017,0.311,0.92,0,0.25,,,
3009,3,Baja California Sur,9,Loreto,0,0.014,0.354,0.81,0.03,0.25,,,
4001,4,Campeche,1,Calkiní,0.047,0.076,0.305,0.41,0.35,0.25,,,
4002,4,Campeche,2,Campeche,0,0.036,0.302,0.46,0.08,0,,,
4003,4,Campeche,3,Carmen,0.001,0.028,0.372,0.26,0.12,0,,,
4004,4,Campeche,4,Champotón,0.005,0.032,0.492,0.83,0.07,0.5,,,
4005,4,Campeche,5,Hecelchakán,0.023,0.06,0.395,0.28,0.24,0,,,
4006,4,Campeche,6,Hopelchén,0.029,0.026,0.548,0.41,0.14,0.25,,,
4007,4,Campeche,7,Palizada,0,0.008,0.559,0.48,0.11,0.25,,,
4008,4,Campeche,8,Tenabo,0.003,0.051,0.376,0.42,0.29,0,,,
4009,4,Campeche,9,Escárcega,0.005,0.024,0.471,0.8,0.29,0.25,,,
4010,4,Campeche,10,Calakmul,0.049,0.104,0.483,0.7,0.44,0.5,,,
4011,4,Campeche,11,Candelaria,0.007,0.043,0.462,0.79,0.34,0.25,,,
4012,4,Campeche,12,Seybaplaya,0.003,0.006,0.533,NA,NA,NA,,,
5001,5,Coahuila de Zaragoza,1,Abasolo,0,0.013,0.596,0.14,0.02,0.25,,,
5002,5,Coahuila de Zaragoza,2,Acuña,0,0.001,0.335,0.28,0.09,0,,,
5003,5,Coahuila de Zaragoza,3,Allende,0,0.016,0.441,0.32,0.49,0.25,,,
5004,5,Coahuila de Zaragoza,4,Arteaga,0,0.017,0.525,0.3,0.08,0.25,,,
5005,5,Coahuila de Zaragoza,5,Candela,0,0.055,0.588,1,0.07,0.5,,,
5006,5,Coahuila de Zaragoza,6,Castaños,0,0.002,0.525,0.17,0.09,0.25,,,
5007,5,Coahuila de Zaragoza,7,Cuatro Ciénegas,0,0.024,0.545,0.42,0.37,0.25,,,
5008,5,Coahuila de Zaragoza,8,Escobedo,0,0,0.664,0.92,0.16,0.5,,,
5009,5,Coahuila de Zaragoza,9,Francisco I. Madero,0,0.035,0.425,0.75,0.16,0.25,,,
5010,5,Coahuila de Zaragoza,10,Frontera,0,0.018,0.43,0.23,0.12,0,,,
5011,5,Coahuila de Zaragoza,11,General Cepeda,0,0.046,0.656,0.45,0.38,0.25,,,
5012,5,Coahuila de Zaragoza,12,Guerrero,0,0.081,0.598,0.89,0.04,0.5,,,
5013,5,Coahuila de Zaragoza,13,Hidalgo,0,0.088,0.572,0.89,0.04,0.5,,,
5014,5,Coahuila de Zaragoza,14,Jiménez,0,0.025,0.559,0.76,0.63,0.75,,,
5015,5,Coahuila de Zaragoza,15,Juárez,0,0.02,0.698,0.15,0.27,0.25,,,
5016,5,Coahuila de Zaragoza,16,Lamadrid,0,0.004,0.53,0.24,0.36,0.25,,,
5017,5,Coahuila de Zaragoza,17,Matamoros,0,0.023,0.425,0.5,0.23,0.25,,,
5018,5,Coahuila de Zaragoza,18,Monclova,0,0.008,0.383,0.13,0.05,0,,,
5019,5,Coahuila de Zaragoza,19,Morelos,0,0.017,0.471,0.45,0.11,0.25,,,
5020,5,Coahuila de Zaragoza,20,Múzquiz,0,0.011,0.44,0.39,0.31,0,,,
5021,5,Coahuila de Zaragoza,21,Nadadores,0,0.005,0.51,0.1,0,0.25,,,
5022,5,Coahuila de Zaragoza,22,Nava,0,0.009,0.507,0.25,0.17,0.25,,,
5023,5,Coahuila de Zaragoza,23,Ocampo,0,0.019,0.627,0.77,0.16,0.5,,,
5024,5,Coahuila de Zaragoza,24,Parras,0,0.016,0.392,0.85,0.09,0.25,,,
5025,5,Coahuila de Zaragoza,25,Piedras Negras,0,0.002,0.351,0.25,0.06,0,,,
5026,5,Coahuila de Zaragoza,26,Progreso,0,0.03,0.573,0.31,0.35,0.25,,,
5027,5,Coahuila de Zaragoza,27,Ramos Arizpe,0,0.002,0.408,0.1,0,0,,,
5028,5,Coahuila de Zaragoza,28,Sabinas,0,0.003,0.368,0.32,0.25,0,,,
5029,5,Coahuila de Zaragoza,29,Sacramento,0,0.05,0.558,0.4,0.36,0.25,,,
5030,5,Coahuila de Zaragoza,30,Saltillo,0,0.01,0.381,0.14,0.03,0,,,
5031,5,Coahuila de Zaragoza,31,San Buenaventura,0,0.003,0.438,0.12,0.05,0,,,
5032,5,Coahuila de Zaragoza,32,San Juan de Sabinas,0,0.007,0.375,0.35,0.31,0,,,
5033,5,Coahuila de Zaragoza,33,San Pedro,0,0.043,0.465,0.58,0.39,0.25,,,
5034,5,Coahuila de Zaragoza,34,Sierra Mojada,0,0.01,0.712,0.71,0.03,0.5,,,
5035,5,Coahuila de Zaragoza,35,Torreón,0,0,0.323,0.15,0.12,0,,,
5036,5,Coahuila de Zaragoza,36,Viesca,0,0.04,0.553,0.26,0.41,0.25,,,
5037,5,Coahuila de Zaragoza,37,Villa Unión,0,0.067,0.562,0.61,0.09,0.5,,,
5038,5,Coahuila de Zaragoza,38,Zaragoza,0,0.038,0.475,0.38,0.44,0,,,
6001,6,Colima,1,Armería,0,0.024,0.39,0.54,0.29,0.25,,,
6002,6,Colima,2,Colima,0,0,0.265,0.53,0.07,0.25,,,
6003,6,Colima,3,Comala,0,0.015,0.332,0.9,0.04,0.25,,,
6004,6,Colima,4,Coquimatlán,0.002,0.045,0.383,0.95,0.09,0.25,,,
6005,6,Colima,5,Cuauhtémoc,0,0.03,0.39,0.47,0.05,0,,,
6006,6,Colima,6,Ixtlahuacán,0,0.045,0.425,0.39,0.06,0,,,
6007,6,Colima,7,Manzanillo,0,0.013,0.327,0.62,0.06,0.25,,,
6008,6,Colima,8,Minatitlán,0,0.026,0.533,0.45,0.03,0.25,,,
6009,6,Colima,9,Tecomán,0.002,0.049,0.384,0.76,0.43,0.5,,,
6010,6,Colima,10,Villa de Álvarez,0,0.009,0.23,0.39,0.03,0,,,
7001,7,Chiapas,1,Acacoyagua,0.001,0.078,0.506,0.96,0.81,0.5,,,
7002,7,Chiapas,2,Acala,0.04,0.03,0.483,0.34,0.98,0.25,,,
7003,7,Chiapas,3,Acapetahua,0,0.054,0.522,0.84,0.81,0.5,,,
7004,7,Chiapas,4,Altamirano,0.237,0.307,0.557,0.23,0.91,0.75,,,
7005,7,Chiapas,5,Amatán,0.031,0.178,0.632,0.41,0.93,0.5,,,
7006,7,Chiapas,6,Amatenango de la Frontera,0.001,0.174,0.697,0.43,0.74,0.5,,,
7007,7,Chiapas,7,Amatenango del Valle,0.277,0.487,0.493,0.2,0.53,0.25,,,
7008,7,Chiapas,8,Angel Albino Corzo,0,0.134,0.528,0.27,0.92,0.5,,,
7009,7,Chiapas,9,Arriaga,0,0.033,0.388,0.35,0.86,0.25,,,
7010,7,Chiapas,10,Bejucal de Ocampo,0.001,0.198,0.48,0.52,0.59,0.75,,,
7011,7,Chiapas,11,Bella Vista,0.001,0.114,0.408,0.23,0.91,0.25,,,
7012,7,Chiapas,12,Berriozábal,0.004,0.117,0.465,0.47,0.43,0.25,,,
7013,7,Chiapas,13,Bochil,0.107,0.179,0.476,0.2,0.34,0.25,,,
7014,7,Chiapas,14,El Bosque,0.44,0.317,0.878,0.08,0.89,0.75,,,
7015,7,Chiapas,15,Cacahoatán,0,0.095,0.477,0.69,0.65,0.5,,,
7016,7,Chiapas,16,Catazajá,0.004,0.112,0.597,0.25,0.71,0.5,,,
7017,7,Chiapas,17,Cintalapa,0.005,0.047,0.537,0.63,0.56,0.75,,,
7018,7,Chiapas,18,Coapilla,0.005,0.06,0.61,0.51,0.82,0.75,,,
7019,7,Chiapas,19,Comitán de Domínguez,0.002,0.121,0.4,0.1,0.71,0.25,,,
7020,7,Chiapas,20,La Concordia,0.01,0.047,0.644,0.65,0.84,0.75,,,
7021,7,Chiapas,21,Copainalá,0.001,0.039,0.508,0.88,0.63,0.5,,,
7022,7,Chiapas,22,Chalchihuitán,0.684,0.525,0.874,0.3,0.87,0.5,,,
7023,7,Chiapas,23,Chamula,0.916,0.54,0.688,0.18,1,0.75,,,
7024,7,Chiapas,24,Chanal,0.404,0.33,0.75,0.06,0.7,0.5,,,
7025,7,Chiapas,25,Chapultenango,0.051,0.187,0.724,0.5,0.91,1,,,
7026,7,Chiapas,26,Chenalhó,0.764,0.507,0.738,0.28,0.96,0.75,,,
7027,7,Chiapas,27,Chiapa de Corzo,0.005,0.06,0.471,0.34,0.49,0.25,,,
7028,7,Chiapas,28,Chiapilla,0,0.028,0.709,0.8,0.91,0.75,,,
7029,7,Chiapas,29,Chicoasén,0,0.162,0.556,0.21,0.86,0.5,,,
7030,7,Chiapas,30,Chicomuselo,0,0.16,0.715,0.68,0.77,0.75,,,
7031,7,Chiapas,31,Chilón,0.658,0.552,0.281,0.2,0.94,0.5,,,
7032,7,Chiapas,32,Escuintla,0,0.065,0.53,0.85,0.6,0.75,,,
7033,7,Chiapas,33,Francisco León,0.043,0.158,0.823,0.06,0.91,0.5,,,
7034,7,Chiapas,34,Frontera Comalapa,0.002,0.11,0.51,0.64,0.62,0.5,,,
7035,7,Chiapas,35,Frontera Hidalgo,0,0.071,0.409,0.16,0.72,0.25,,,
7036,7,Chiapas,36,La Grandeza,0,0.158,0.617,0.29,0.5,0.25,,,
7037,7,Chiapas,37,Huehuetán,0,0.088,0.384,0.64,0.86,0.5,,,
7038,7,Chiapas,38,Huixtán,0.493,0.305,0.515,0.07,0.88,0.5,,,
7039,7,Chiapas,39,Huitiupán,0.152,0.245,0.66,0.16,0.99,0.75,,,
7040,7,Chiapas,40,Huixtla,0.001,0.092,0.459,0.28,0.77,0.25,,,
7041,7,Chiapas,41,La Independencia,0.004,0.136,0.523,0.24,0.95,0.25,,,
7042,7,Chiapas,42,Ixhuatán,0.099,0.203,0.673,0.35,0.96,0.75,,,
7043,7,Chiapas,43,Ixtacomitán,0.01,0.111,0.395,0.5,0.59,0.5,,,
7044,7,Chiapas,44,Ixtapa,0.053,0.148,0.713,0.27,0.89,0.5,,,
7045,7,Chiapas,45,Ixtapangajoya,0.01,0.149,0.839,0.35,0.77,0.5,,,
7046,7,Chiapas,46,Jiquipilas,0.005,0.042,0.498,0.38,0.64,0.25,,,
7047,7,Chiapas,47,Jitotol,0.201,0.188,0.598,0.42,0.86,0.75,,,
7048,7,Chiapas,48,Juárez,0.002,0.058,0.567,0.46,0.7,0.5,,,
7049,7,Chiapas,49,Larráinzar,0.618,0.307,0.648,0.07,0.59,0.5,,,
7050,7,Chiapas,50,La Libertad,0.007,0.195,0.542,0.36,0.64,0.75,,,
