BASIN,POINTS,ID,NAME,SCENARIO,WYIELD,EROSION,N,P
1_BASE,1,1,CABEZAS,BASE,322.30,0.59,1.28,0.65
1_BASE,2,1,CABEZAS,BASE,197.18,0.03,0.00,0.00
1_BASE,3,1,CABEZAS,BASE,402.42,0.03,0.00,0.00
1_BASE,4,1,CABEZAS,BASE,263.91,0.06,1.33,0.68
1_BASE,5,1,CABEZAS,BASE,229.05,0.00,0.01,0.01
1_BASE,6,1,CABEZAS,BASE,332.34,1.53,3.29,1.38
1_BASE,7,1,CABEZAS,BASE,321.39,0.23,1.87,0.79
1_BASE,8,1,CABEZAS,BASE,220.17,0.00,0.00,0.00
1_BASE,9,1,CABEZAS,BASE,20.98,0.06,0.01,0.01
1_BASE,10,1,CABEZAS,BASE,157.17,0.66,2.27,0.96
1_BASE,11,1,CABEZAS,BASE,205.98,0.08,3.48,1.46
1_BASE,12,1,CABEZAS,BASE,111.49,0.30,0.02,0.02
1_BASE,13,1,CABEZAS,BASE,23.35,0.03,0.01,0.01
1_BASE,14,1,CABEZAS,BASE,725.14,0.22,0.31,0.08
1_BASE,15,1,CABEZAS,BASE,242.67,0.40,1.86,0.94
1_BASE,16,1,CABEZAS,BASE,235.34,0.00,0.01,0.01
1_BASE,17,1,CABEZAS,BASE,395.74,0.01,0.00,0.00
1_BASE,18,1,CABEZAS,BASE,182.59,0.03,2.06,0.87
1_BASE,19,1,CABEZAS,BASE,220.84,0.02,0.01,0.01
1_BASE,20,1,CABEZAS,BASE,0.00,0.00,0.00,0.00
1_BASE,21,1,CABEZAS,BASE,288.93,61.63,8.63,3.63
1_BASE,22,1,CABEZAS,BASE,216.24,0.00,0.00,0.00
1_BASE,23,1,CABEZAS,BASE,125.78,0.00,0.00,0.00
1_BASE,24,1,CABEZAS,BASE,214.43,0.01,0.00,0.00
1_BASE,25,1,CABEZAS,BASE,199.15,0.02,0.01,0.01
1_BASE,26,1,CABEZAS,BASE,329.92,0.54,2.19,0.92
1_BASE,27,1,CABEZAS,BASE,408.93,0.00,3.22,1.64
1_BASE,28,1,CABEZAS,BASE,337.77,1.62,0.01,0.01
1_BASE,29,1,CABEZAS,BASE,344.80,0.17,1.29,0.66
1_BASE,30,1,CABEZAS,BASE,108.05,0.01,0.01,0.01
1_BASE,31,1,CABEZAS,BASE,68.91,0.06,0.30,0.03
1_BASE,32,1,CABEZAS,BASE,22.13,0.03,0.01,0.01
1_BASE,33,1,CABEZAS,BASE,211.68,0.05,0.00,0.00
1_BASE,34,1,CABEZAS,BASE,23.30,0.03,0.01,0.01
1_BASE,35,1,CABEZAS,BASE,181.34,0.26,2.34,0.99
1_BASE,36,1,CABEZAS,BASE,223.56,0.02,0.01,0.01
1_BASE,37,1,CABEZAS,BASE,20.98,0.03,0.01,0.01
1_BASE,38,1,CABEZAS,BASE,164.31,0.00,0.00,0.00
1_BASE,39,1,CABEZAS,BASE,369.55,0.35,2.45,1.03
1_BASE,40,1,CABEZAS,BASE,225.95,0.00,0.00,0.00
1_BASE,41,1,CABEZAS,BASE,22.02,0.05,0.00,0.00
1_BASE,42,1,CABEZAS,BASE,210.14,0.00,0.00,0.00
1_BASE,43,1,CABEZAS,BASE,134.34,0.01,0.01,0.01
1_BASE,44,1,CABEZAS,BASE,263.50,1.88,1.73,0.88
1_BASE,45,1,CABEZAS,BASE,211.26,0.20,0.00,0.00
1_BASE,46,1,CABEZAS,BASE,216.24,0.01,0.00,0.00
1_BASE,47,1,CABEZAS,BASE,173.07,0.82,3.47,1.46
1_BASE,48,1,CABEZAS,BASE,320.07,0.51,2.44,1.03
1_BASE,49,1,CABEZAS,BASE,23.75,0.00,0.00,0.00
1_BASE,50,1,CABEZAS,BASE,10.56,0.15,0.65,0.07
1_BASE,51,1,CABEZAS,BASE,752.16,0.00,0.30,0.08
1_BASE,52,1,CABEZAS,BASE,277.71,2.62,2.54,1.29
1_BASE,53,1,CABEZAS,BASE,23.33,0.06,0.01,0.01
1_BASE,54,1,CABEZAS,BASE,53.77,0.00,0.00,0.00
1_BASE,55,1,CABEZAS,BASE,317.55,4.52,1.96,0.99
1_BASE,56,1,CABEZAS,BASE,358.44,0.00,0.00,0.00
1_BASE,57,1,CABEZAS,BASE,181.05,0.03,2.09,0.88
1_BASE,58,1,CABEZAS,BASE,355.49,1.34,1.94,0.98
1_BASE,59,1,CABEZAS,BASE,0.00,0.00,0.00,0.00
1_BASE,60,1,CABEZAS,BASE,90.27,0.61,0.01,0.01
1_BASE,61,1,CABEZAS,BASE,108.18,0.16,0.01,0.01
1_BASE,62,1,CABEZAS,BASE,294.93,0.03,0.00,0.00
1_BASE,63,1,CABEZAS,BASE,151.05,0.02,1.34,0.56
1_BASE,64,1,CABEZAS,BASE,92.83,0.00,0.01,0.01
1_BASE,65,1,CABEZAS,BASE,301.33,0.00,0.00,0.00
1_BASE,66,1,CABEZAS,BASE,102.91,0.52,0.01,0.01
1_BASE,67,1,CABEZAS,BASE,262.37,1.05,1.88,0.96
1_BASE,68,1,CABEZAS,BASE,22.67,0.04,0.01,0.01
1_BASE,69,1,CABEZAS,BASE,126.76,0.21,0.01,0.01
1_BASE,70,1,CABEZAS,BASE,22.67,0.03,0.01,0.01
1_BASE,71,1,CABEZAS,BASE,213.34,0.00,0.00,0.00
1_BASE,72,1,CABEZAS,BASE,307.21,0.32,1.49,0.75
1_BASE,73,1,CABEZAS,BASE,141.02,0.44,2.24,0.94
1_BASE,74,1,CABEZAS,BASE,329.68,0.00,0.00,0.00
1_BASE,75,1,CABEZAS,BASE,245.24,0.07,0.72,0.37
1_BASE,76,1,CABEZAS,BASE,189.20,0.04,0.01,0.01
1_BASE,77,1,CABEZAS,BASE,308.23,0.34,4.33,1.82
